name,peak_ccu,price,average_play_hours_per_day,addictivity
MechWarrior Online™ Solaris 7,1057,0.0,2.1107142857142858,Safe
Realm Royale,989,0.0,2.0976190476190477,Safe
Counter-Strike,13230,9.99,2.0630952380952383,Safe
Banners of Ruin,155,19.99,2.057142857142857,Safe
OVR Toolkit,1268,11.99,2.0142857142857142,Safe
Dota 2,558759,0.0,1.9607142857142856,Safe
Grow: Song of the Evertree,61,24.99,1.938095238095238,Safe
TerraTech,475,24.99,1.9261904761904762,Safe
PAYDAY 2,45663,9.99,1.901190476190476,Safe
ARK: Survival Evolved,98215,29.99,1.888095238095238,Safe
Arma 2: Operation Arrowhead,348,19.99,1.855952380952381,Safe
The Swordsmen X: Survival,0,29.74,1.8523809523809525,Safe
FINAL FANTASY XIV Online,31735,19.99,1.848809523809524,Safe
EVE Online,4318,0.0,1.8428571428571427,Safe
Fallout 4,23636,19.99,1.8261904761904761,Safe
DEAD OR ALIVE 5 Last Round: Core Fighters,45,0.0,1.8178571428571428,Safe
